Card,00 MoonBeam,01 Fragmentize,02 SkullBash,03 RazorWind,04 WhipOfLightning,05 ClanshipBarrage,06 PurifyingBlast,07 PsychicShackles,08 FlakShot,09 CosmicHaymaker,10 ChainOfVengeance,11 MirrorForce,12 CelestialStatic,13 GuardBreak,14 BarbedMorningstar,15 BlazingInferno,16 AcidDrench,17 DecayingStrike,18 FusionBomb,19 GrimShadow,20 ThrivingPlague,21 Radioactivity,22 RavenousSwarm,23 RuinousRain,24 CorrosiveBubbles,25 Maelstrom,26 Amplify,27 SandsOfTime,28 ElectroZap,29 CrushingInstinct,30 InsanityVoid,31 RancidGas,32 InspiringForce,33 SoulFire,34 VictoryMarch,35 PrismaticRift,36 AncestralFavor,37 GraspingVines,38 TotemOfPower,39 TeamTactics,40 SkeletalSmash,41 AstralEcho,42 RadiantKaleidoscope,43 BattleDrums
10 ChainOfVengeance,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11 MirrorForce,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12 CelestialStatic,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13 GuardBreak,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14 BarbedMorningstar,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15 BlazingInferno,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16 AcidDrench,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17 DecayingStrike,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18 FusionBomb,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19 GrimShadow,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20 ThrivingPlague,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21 Radioactivity,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22 RavenousSwarm,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23 RuinousRain,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24 CorrosiveBubbles,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25 Maelstrom,T,T,T,T,T,T,F,T,F,T,T,T,F,T,T,T,T,T,F,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26 Amplify,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27 SandsOfTime,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,T,T,T,T,T,T,T,T,F,F,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28 ElectroZap,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29 CrushingInstinct,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30 InsanityVoid,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31 RancidGas,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-
32 InspiringForce,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-,-
33 SoulFire,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-,-
34 VictoryMarch,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-,-,-
35 PrismaticRift,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,-,-,-,-,-,-,-,-,-
36 AncestralFavor,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,T,T,T,T,T,T,-,-,-,-,-,-,-,-
37 GraspingVines,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,F,T,T,T,-,-,-,-,-,-,-
38 TotemOfPower,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,F,T,F,F,F,F,F,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-,-
39 TeamTactics,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-,-
40 SkeletalSmash,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-,-
41 AstralEcho,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-,-,-
42 RadiantKaleidoscope,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,-,-
43 BattleDrums,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,-
